scrape_date,id,name,type,update_date,creation_date,creator,permalink,category,description
2024-02-02 19:14:04.411096-05:00,4abx-dnj3,HS_Zones_2018-2019_v02_JG,dataset,2024-02-02 18:44:23+00:00,2019-05-06 16:18:51+00:00,NYC OpenData,https://data.cityofnewyork.us/d/4abx-dnj3,Education,Polygon boundaries of school zones used for school assignment and access.
2024-02-02 19:14:04.411096-05:00,r9cu-9r7b,TRANSPORTION_STRUCTURE,dataset,2024-02-02 18:45:21+00:00,2014-11-18 00:51:51+00:00,NYC OpenData,https://data.cityofnewyork.us/d/r9cu-9r7b,City Government,Transportation Structures. Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.
2024-02-02 19:14:04.411096-05:00,sidw-jf8y,CPI_Zones,dataset,2024-02-02 18:45:21+00:00,2015-08-20 20:51:47+00:00,NYC OpenData,https://data.cityofnewyork.us/d/sidw-jf8y,City Government,"CPI Zones are neighborhoods where NYC Parks pursued a combination of capital investment and/or targeted physical improvements, enhanced programming, and public outreach efforts through the Community Parks Initiative launched in 2014. CPI Zones were boundaries based on the NYC Department of City Planning's Neighborhood Tabulation Areas. These NTAs were selected as they capture neighborhoods that met several criteria for the initiative. They are densely populated and growing neighborhoods where there are higher-than-average concentrations of poverty as measured through the 2010 US Census, and they contain parks that are suitable for recreational redevelopment and received less than $250,000 in capital investment from 1992-2013."
2024-02-02 19:14:04.411096-05:00,eqyn-hsuk,MMHW_2050s_Final,dataset,2024-02-02 18:45:22+00:00,2019-03-26 18:36:58+00:00,NYC OpenData,https://data.cityofnewyork.us/d/eqyn-hsuk,Environment,Future Mean Monthly High Water (MMHW) projections released by the NPCC March 2019.
2024-02-02 19:14:04.411096-05:00,qafw-han9,DPR_Pools_001,dataset,2024-02-02 18:45:22+00:00,2015-04-23 21:18:06+00:00,NYC OpenData,https://data.cityofnewyork.us/d/qafw-han9,City Government,"Directory of Pools This dataset consists of indoor and outdoor pools under the jurisdiction of NYC Parks. For more information about NYC Parks pools, visit https://www.nycgovparks.org/highlights/places-to-go/pools This dataset uses the standard NYC projection of NAD_1983_StatePlane_New_York_Long_Island_FIPS_3104_Feet. Lengths are in feet and areas in square feet."
2024-02-02 19:14:04.411096-05:00,3we2-bw9s,NYCDCP_Manhattan_Bike_Counts,dataset,2024-02-02 18:45:22+00:00,2016-09-12 19:47:13+00:00,NYC OpenData,https://data.cityofnewyork.us/d/3we2-bw9s,Transportation,"The Transportation Division of the New York City Department of City Planning (NYCDCP) has performed annual bike counts in Manhattan since 1999. The counts have been conducted along designated bicycle routes at 10 on-street and 5 off-street locations during the fall season. These locations have remained generally consistent. The data collected includes cyclist/user volumes, helmet usage, use of bike lane, gender, etc. The bike counts data can offer insights into the overall trends in user demographics and travel patterns over time. All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>"
2024-02-02 19:14:04.411096-05:00,kmbn-acqc,MS_Zones_2017-2018_v10_NC,dataset,2024-02-02 18:45:23+00:00,2018-07-05 16:09:56+00:00,NYC OpenData,https://data.cityofnewyork.us/d/kmbn-acqc,Education,NYC DOE School Zones
2024-02-02 19:14:04.411096-05:00,5n8j-8i2y,nyct2000wi,dataset,2024-02-02 18:45:23+00:00,2015-12-07 17:35:01+00:00,NYC OpenData,https://data.cityofnewyork.us/d/5n8j-8i2y,City Government,"GIS data: Boundaries of 2000 Census Tracts (water areas included). All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>"
2024-02-02 19:14:04.411096-05:00,ifu9-zqkd,NYC_Parks_Forest_Restoration_Planting_Sites,dataset,2024-02-02 18:45:23+00:00,2015-09-29 17:27:25+00:00,NYC OpenData,https://data.cityofnewyork.us/d/ifu9-zqkd,Environment,"The polygons in this dataset show mapped forest restoration planting polygons. These polygons depict areas where invasive plants were removed and native trees and/or shrubs were planted under the purview of NYC Parks? Natural Resources Group as part of the MillionTreesNYC initiative on property under the jurisdiction of NYC Parks. Spring plantings occur between January 1 and June 30, while Fall plantings occur between July 1 and December 31 of any year. Older restoration polygons were mapped via heads-up digitizing while the location of newer polygons have been collected using a high-accuracy GPS device."
2024-02-02 19:14:04.411096-05:00,79qq-nni8,Elem_Upd,dataset,2024-02-02 18:45:41+00:00,2017-11-01 15:36:45+00:00,Vaughan Coleman,https://data.cityofnewyork.us/d/79qq-nni8,Education,2010 - 2011 Middle Elementary and High School zones
2024-02-02 19:14:04.411096-05:00,utvq-4kwe,Mid_upd,dataset,2024-02-02 18:45:41+00:00,2017-11-01 15:36:45+00:00,Vaughan Coleman,https://data.cityofnewyork.us/d/utvq-4kwe,Education,2010 - 2011 Middle Elementary and High School zones
2024-02-02 19:14:04.411096-05:00,5tkc-txsb,ES_Zones_2017-2018_v28_WC,dataset,2024-02-02 18:45:42+00:00,2018-07-05 16:05:22+00:00,NYC OpenData,https://data.cityofnewyork.us/d/5tkc-txsb,Education,NYC DOE School Zones
2024-02-02 19:14:04.411096-05:00,xehh-f7pi,ES_Zones_2017-2018_v21_WC,dataset,2024-02-02 18:45:42+00:00,2017-05-01 21:27:53+00:00,NYC OpenData,https://data.cityofnewyork.us/d/xehh-f7pi,Education,"2017-2018 School Zones (as of April 24, 2017). Files are in a GIS Shapefile format. They are broken down by elementary school zones (NYC_E) and middle school zones (NYC_M)"
2024-02-02 19:14:04.411096-05:00,jxpn-gg5q,MS_Zones_2017-2018_v05_WC,dataset,2024-02-02 18:45:42+00:00,2017-05-01 21:27:53+00:00,NYC OpenData,https://data.cityofnewyork.us/d/jxpn-gg5q,Education,"2017-2018 School Zones (as of April 24, 2017). Files are in a GIS Shapefile format. They are broken down by elementary school zones (NYC_E) and middle school zones (NYC_M)"
2024-02-02 19:14:04.411096-05:00,9hw3-gi34,HS_Zones_2016-2017_v002_HM,dataset,2024-02-02 18:45:42+00:00,2017-05-01 21:27:53+00:00,NYC OpenData,https://data.cityofnewyork.us/d/9hw3-gi34,Education,"2017-2018 School Zones (as of April 24, 2017). Files are in a GIS Shapefile format. They are broken down by elementary school zones (NYC_E) and middle school zones (NYC_M)"
2024-02-02 19:14:04.411096-05:00,yqeh-4kj8,MS_Zones_2018-2019_v16_JKB,dataset,2024-02-02 18:45:43+00:00,2019-05-06 16:25:47+00:00,NYC OpenData,https://data.cityofnewyork.us/d/yqeh-4kj8,Education,Polygon boundaries of school zones used for school assignment and access.
2024-02-02 19:14:04.411096-05:00,feuq-due4,LIBRARY,dataset,2024-02-02 18:45:43+00:00,2014-11-18 19:52:20+00:00,NYC OpenData,https://data.cityofnewyork.us/d/feuq-due4,Business,Library
2024-02-02 19:14:04.411096-05:00,h5hi-7duz,HS_Zones_2017-2018_v02_JG,dataset,2024-02-02 18:45:38+00:00,2018-07-05 16:07:58+00:00,NYC OpenData,https://data.cityofnewyork.us/d/h5hi-7duz,Education,NYC DOE School Zones
2024-02-02 19:14:04.411096-05:00,8knb-zsb6,DPR_Skateparks_001,dataset,2024-02-02 18:45:39+00:00,2013-11-25 18:46:02+00:00,NYC OpenData,https://data.cityofnewyork.us/d/8knb-zsb6,City Government,Directory of Skateparks
2024-02-02 19:14:04.411096-05:00,qyh3-ddat,MMHW_2080s_Final,dataset,2024-02-02 18:45:39+00:00,2019-03-26 18:09:04+00:00,NYC OpenData,https://data.cityofnewyork.us/d/qyh3-ddat,Environment,Future Mean Monthly High Water (MMHW) projections released by the NPCC March 2019.
2024-02-02 19:14:04.411096-05:00,ees7-4ufv,MEDIAN,dataset,2024-02-02 18:45:39+00:00,2016-03-14 21:50:10+00:00,NYC OpenData,https://data.cityofnewyork.us/d/ees7-4ufv,Transportation,Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.
2024-02-02 19:14:04.411096-05:00,k3sr-iysq,KayakCanoeLaunch_20190417,dataset,2024-02-02 18:45:39+00:00,2019-04-24 17:16:14+00:00,NYC OpenData,https://data.cityofnewyork.us/d/k3sr-iysq,Recreation,This dataset contains the sites designated for Kayak and Canoe launches. See on-site signage for up to date rules about the use of that site. Each record corresponds to one launch site. This dataset is updated as needed but the attribute information may not longer be accurate. User guide: https://drive.google.com/open?id=1gOsTkOP_jA8pM_G8oWnvQnB2mMHEvj0FjhIcERtClRQ Data Dictionary: https://drive.google.com/open?id=1u73SAOREZjAx6iMbGrsKcafaGPoyV4Z9xhKKEGmTPYc
2024-02-02 19:14:04.411096-05:00,dwer-xbgx,RAILROAD,dataset,2024-02-02 18:45:40+00:00,2014-11-18 00:47:01+00:00,NYC OpenData,https://data.cityofnewyork.us/d/dwer-xbgx,City Government,Railroad Structure. Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.
2024-02-02 19:14:04.411096-05:00,jsdz-u4b8,Section_ZoningMapIndex,dataset,2024-02-02 18:45:40+00:00,2016-09-12 19:21:09+00:00,NYC OpenData,https://data.cityofnewyork.us/d/jsdz-u4b8,City Government,"Shapefile of zoning section map index, grid to determine which zoning section map relates to specific areas of NYC. A sectional index grid to determine which Zoning Map refers to specific areas of New York City. Zoning maps show the boundaries of zoning districts throughout the city. The maps are regularly updated after the City Planning Commission and the City Council have approved proposed zoning changes. The set of 126 maps, which are part of the Zoning Resolution, are displayed in 35 sections. Each section is identified by a number from 1 to 35. Each map covers an area of approximately 8,000 feet (north/south) by 12,500 feet (east/west). All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>"
2024-02-02 19:14:04.411096-05:00,aqw3-vugz,2020_02p_092_final_mergeFEMA,dataset,2024-02-02 18:45:40+00:00,2013-07-23 21:20:31+00:00,NYC OpenData,https://data.cityofnewyork.us/d/aqw3-vugz,Environment,This is the 500-Year Floodplain for the 2020s based on FEMA's Preliminary Work Map data and the New York Panel on Climate Change's 90th Percentile Projects for Sea-Level Rise (11 inches). Please see the Disclaimer PDF for more information. Data Provided by the Mayor's Office of Long-Term Planning and Sustainability (OLTPS) on behalf of CUNY Institute for Sustainable Cities (CISC) and the New York Panel on Climate Change (NPCC).
2024-02-02 19:14:04.411096-05:00,8n8s-np59,NPCC3_SLR_2050s,dataset,2024-02-02 18:45:41+00:00,2019-03-26 18:42:32+00:00,NYC OpenData,https://data.cityofnewyork.us/d/8n8s-np59,Environment,Future Mean Sea Level projections released by the NPCC March 2019.
2024-02-02 19:14:04.411096-05:00,s2pi-ccum,RETAININGWALL,dataset,2024-02-02 18:45:41+00:00,2016-03-15 14:30:00+00:00,NYC OpenData,https://data.cityofnewyork.us/d/s2pi-ccum,City Government,Retaining Wall. Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.
2024-02-02 19:14:04.411096-05:00,n2h8-q6ag,Cable_TV_Territories_TW,dataset,2024-02-02 18:45:41+00:00,2016-11-18 23:25:07+00:00,NYC OpenData,https://data.cityofnewyork.us/d/n2h8-q6ag,,Visual display of the cable franchise areas shapefiles found in the Broadband Data Dig dataset. (https://data.cityofnewyork.us/dataset/Broadband-Data-Dig-Datasets/ft4n-yqee)
2024-02-02 19:14:04.411096-05:00,xvww-awjk,IceSkatingRinks_20190417,dataset,2024-02-02 18:45:38+00:00,2019-04-24 15:47:42+00:00,NYC OpenData,https://data.cityofnewyork.us/d/xvww-awjk,Recreation,"Each record in this dataset is an individual ice skating rink. The data was created using desktop GIS software. In addition to the geometry for each ice skating rink, the dataset includes several descriptive attributes. The dataset is updated as needed. User guide: https://drive.google.com/open?id=1r6NHMqCEn5NZuHv7FdyGRUuA7XFKlimP__RXuyOQhFA Data Dictionary: https://drive.google.com/open?id=1fMoGzTfCdv5zopjGei6tvxHFmaH6aT2q-b9Braucn5A"
2024-02-02 19:14:04.411096-05:00,6dic-zdhf,AIRPORT_POLYGON,dataset,2024-02-02 18:45:38+00:00,2014-11-18 00:36:02+00:00,NYC OpenData,https://data.cityofnewyork.us/d/6dic-zdhf,City Government,Airport Polygon
2024-02-02 19:14:04.411096-05:00,rdff-24yn,Designated_Areas_M_districts_AppendixJ,dataset,2024-02-02 18:45:38+00:00,2018-08-03 21:53:25+00:00,NYC OpenData,https://data.cityofnewyork.us/d/rdff-24yn,City Government,"Designated Areas in M districts (shown in the maps of Appendix J in the Zoning Resolution) are areas where the development of new self-storage facilities are subject to restrictions. Designated areas in which self-storage facilities are subject to the as-of-right provisions of Section 42-121 are shown as Subarea 1, and those in which such use is subject to special permit of the City Planning Commission pursuant to Section 74-932 are shown as Subarea 2."
2024-02-02 19:14:04.411096-05:00,cg6g-43bj,AIRTRAIN,dataset,2024-02-02 18:45:27+00:00,2014-11-18 18:51:41+00:00,NYC OpenData,https://data.cityofnewyork.us/d/cg6g-43bj,City Government,JFK Airtrain
2024-02-02 19:14:04.411096-05:00,dhcf-pcvf,ORR_points,dataset,2024-02-02 18:45:27+00:00,2017-11-21 14:49:04+00:00,NYC OpenData,https://data.cityofnewyork.us/d/dhcf-pcvf,City Government,"Completed, ongoing, and planned recovery and resiliency projects throughout New York City."
2024-02-02 19:14:04.411096-05:00,bbqn-x8xv,PATH_STATION,dataset,2024-02-02 18:45:28+00:00,2014-11-18 00:42:30+00:00,NYC OpenData,https://data.cityofnewyork.us/d/bbqn-x8xv,City Government,Path Station Locations
2024-02-02 19:14:04.411096-05:00,brsj-szf5,DPR_ModelAircraftFields_001,dataset,2024-02-02 18:45:28+00:00,2015-04-23 20:40:52+00:00,NYC OpenData,https://data.cityofnewyork.us/d/brsj-szf5,City Government,Directory of Model Aircraft Fields
2024-02-02 19:14:04.411096-05:00,sgpi-7kic,NEW_JERSEY_TRANSIT_STATION,dataset,2024-02-02 18:45:28+00:00,2014-11-18 00:39:03+00:00,NYC OpenData,https://data.cityofnewyork.us/d/sgpi-7kic,City Government,New Jersey Transit Station
2024-02-02 19:14:04.411096-05:00,wppn-hqi3,HS_Zones_2018-2019_v02_JG,dataset,2024-02-02 18:45:28+00:00,2019-05-06 16:22:05+00:00,NYC OpenData,https://data.cityofnewyork.us/d/wppn-hqi3,Education,Polygon boundaries of school zones used for school assignment and access.
